lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
IXI002-Guys-0828	1052.0	613.0	2399.0	1240.0	445.0	2620.0	4152.0	3063.0	799.0	4928.0	2177.0	3241.0	1412.0	2961.0	638.0	1192.0	1644.0	569.0	1321.0	1466.0	4273.0	925.0	4584.0	3432.0	780.0	5877.0	6247.0	5054.0	3676.0	3895.0	244.0	399.0	387.0	2452.0	80146.3	1147266.0	1545649.98067
IXI012-HH-1211	886.0	710.0	2021.0	2175.0	461.0	3923.0	4494.0	3946.0	1083.0	6123.0	2977.0	3604.0	1892.0	4193.0	632.0	1544.0	1543.0	711.0	1465.0	1850.0	5321.0	1400.0	5028.0	4269.0	1206.0	8076.0	8147.0	6013.0	4723.0	4616.0	231.0	483.0	512.0	2683.0	98934.0	1323241.0	1853040.72332
IXI013-HH-1212	991.0	606.0	3027.0	1372.0	464.0	3728.0	5205.0	3645.0	1244.0	5222.0	2742.0	2984.0	1682.0	3198.0	633.0	1280.0	1916.0	843.0	1458.0	1209.0	4843.0	1319.0	5914.0	4360.0	920.0	6961.0	8028.0	5864.0	4014.0	5229.0	226.0	483.0	474.0	3017.0	95084.7	1247419.0	1704681.57987
IXI014-HH-1236	949.0	512.0	2215.0	1528.0	506.0	3193.0	3608.0	3044.0	934.0	4471.0	2556.0	3228.0	1885.0	2910.0	621.0	1284.0	1328.0	742.0	1286.0	1619.0	4085.0	939.0	4303.0	3829.0	800.0	5614.0	7285.0	4985.0	3316.0	4096.0	250.0	451.0	461.0	2234.0	81062.2	1076325.0	1373808.99181
IXI015-HH-1258	1008.0	597.0	2287.0	1231.0	456.0	3110.0	4812.0	3610.0	1144.0	5109.0	2769.0	2350.0	1966.0	3156.0	736.0	1124.0	1894.0	713.0	1555.0	934.0	3632.0	1111.0	4705.0	3642.0	788.0	5108.0	6980.0	4802.0	4038.0	4140.0	295.0	444.0	492.0	2471.0	83182.1	1192328.0	1703851.02527
IXI016-Guys-0697	968.0	525.0	2139.0	1437.0	432.0	2844.0	4450.0	3613.0	1043.0	4479.0	2769.0	2535.0	1790.0	3182.0	615.0	1333.0	1350.0	687.0	1158.0	1117.0	4154.0	1108.0	5111.0	3720.0	951.0	5820.0	7011.0	4750.0	4317.0	3970.0	256.0	523.0	492.0	2294.0	82941.0	1144485.0	1560431.14236
IXI017-Guys-0698	1022.0	479.0	2711.0	1600.0	388.0	3237.0	5239.0	4068.0	1288.0	5651.0	3013.0	3387.0	1863.0	3897.0	712.0	1305.0	1668.0	766.0	1407.0	1522.0	4313.0	1153.0	5350.0	4279.0	902.0	6481.0	8319.0	5599.0	4311.0	3667.0	258.0	528.0	403.0	2345.0	93040.3	1242806.0	1697050.19388
IXI019-Guys-0702	1028.0	844.0	2755.0	1554.0	582.0	3336.0	4693.0	3660.0	955.0	4462.0	2981.0	2670.0	2211.0	3523.0	634.0	1172.0	1475.0	698.0	1254.0	1360.0	4586.0	1224.0	5950.0	4300.0	1250.0	6034.0	7682.0	5210.0	4599.0	4403.0	242.0	507.0	420.0	2272.0	90514.5	1214350.0	1599020.2663
IXI020-Guys-0700	1004.0	586.0	2374.0	1903.0	694.0	3274.0	4751.0	4143.0	830.0	4998.0	2989.0	3206.0	1698.0	3588.0	731.0	1609.0	1514.0	787.0	1404.0	1613.0	4114.0	1349.0	4394.0	4347.0	823.0	6537.0	7885.0	6328.0	3780.0	4351.0	215.0	550.0	407.0	2754.0	91526.3	1249623.0	1702761.67298
IXI021-Guys-0703	1057.0	794.0	2193.0	2293.0	276.0	3230.0	3769.0	3992.0	1010.0	5269.0	3024.0	3458.0	2015.0	3762.0	766.0	1518.0	1532.0	865.0	1434.0	1926.0	3772.0	1142.0	4942.0	3850.0	967.0	6084.0	7621.0	6274.0	4279.0	4541.0	258.0	525.0	467.0	2539.0	91328.7	1259980.0	1715735.22124
