rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
IXI002-Guys-0828	866.0	828.0	2169.0	1296.0	388.0	2836.0	5042.0	3152.0	697.0	4354.0	2266.0	3670.0	1649.0	3339.0	609.0	1344.0	1421.0	770.0	1635.0	1522.0	3690.0	1023.0	4735.0	3578.0	640.0	5736.0	5860.0	5411.0	3137.0	3192.0	264.0	372.0	279.0	2467.0	80232.0	1147266.0	1545649.98067
IXI012-HH-1211	1021.0	914.0	2443.0	1939.0	429.0	3731.0	6054.0	3963.0	994.0	5119.0	2758.0	3832.0	2383.0	4464.0	730.0	1780.0	1493.0	770.0	1530.0	1689.0	4868.0	1499.0	4995.0	4200.0	747.0	6839.0	8329.0	6206.0	4331.0	4678.0	333.0	460.0	366.0	2980.0	98866.0	1323241.0	1853040.72332
IXI013-HH-1212	976.0	934.0	2153.0	1630.0	413.0	3535.0	6594.0	3763.0	770.0	5585.0	2647.0	3110.0	2096.0	3580.0	624.0	1581.0	1435.0	853.0	1531.0	1345.0	4655.0	1301.0	5090.0	4436.0	896.0	7321.0	8217.0	6303.0	3442.0	3542.0	364.0	506.0	302.0	2537.0	94028.0	1247419.0	1704681.57987
IXI014-HH-1236	765.0	710.0	1755.0	1639.0	443.0	2733.0	5120.0	2813.0	877.0	4858.0	2687.0	3153.0	1860.0	3207.0	603.0	1536.0	1385.0	940.0	1449.0	1756.0	3776.0	1107.0	4872.0	4119.0	597.0	5112.0	6677.0	4835.0	3261.0	3420.0	297.0	371.0	355.0	1996.0	81059.5	1076325.0	1373808.99181
IXI015-HH-1258	1059.0	661.0	1964.0	1288.0	401.0	2333.0	5588.0	2677.0	1043.0	4924.0	3328.0	2821.0	2089.0	3886.0	720.0	1209.0	1417.0	1021.0	1579.0	1111.0	3535.0	1110.0	4467.0	3754.0	508.0	5106.0	6287.0	5119.0	3833.0	3484.0	329.0	447.0	370.0	2436.0	81897.0	1192328.0	1703851.02527
IXI016-Guys-0697	789.0	582.0	2387.0	1567.0	322.0	2731.0	5047.0	3384.0	784.0	4527.0	2852.0	2991.0	2052.0	3385.0	601.0	1523.0	1157.0	852.0	1217.0	1436.0	4203.0	1081.0	5058.0	3965.0	592.0	5898.0	6982.0	5357.0	4033.0	3769.0	288.0	460.0	316.0	2472.0	84655.3	1144485.0	1560431.14236
IXI017-Guys-0698	1175.0	759.0	2821.0	1585.0	373.0	3292.0	5157.0	3263.0	1109.0	5711.0	3072.0	3147.0	1981.0	4059.0	640.0	1846.0	1555.0	835.0	1534.0	1335.0	4358.0	1181.0	5159.0	4443.0	670.0	6264.0	7765.0	6118.0	4255.0	3945.0	357.0	419.0	362.0	2376.0	92917.9	1242806.0	1697050.19388
IXI019-Guys-0702	944.0	688.0	2405.0	1884.0	442.0	2931.0	4989.0	3820.0	806.0	4861.0	2942.0	2931.0	2184.0	3846.0	522.0	1666.0	1261.0	891.0	1581.0	1536.0	4144.0	1193.0	5485.0	3986.0	595.0	6404.0	8180.0	5134.0	4141.0	4119.0	332.0	505.0	373.0	2663.0	90375.8	1214350.0	1599020.2663
IXI020-Guys-0700	983.0	907.0	2512.0	2007.0	496.0	3460.0	5523.0	4059.0	843.0	5483.0	2974.0	2985.0	1953.0	3999.0	674.0	1388.0	1249.0	1028.0	1435.0	1828.0	4153.0	1380.0	4647.0	4891.0	681.0	7226.0	6915.0	6388.0	3558.0	4533.0	277.0	536.0	349.0	2560.0	93874.1	1249623.0	1702761.67298
IXI021-Guys-0703	986.0	780.0	1986.0	2407.0	324.0	2985.0	5200.0	3545.0	1091.0	5719.0	3082.0	3587.0	2016.0	4005.0	656.0	1576.0	1181.0	908.0	1717.0	1961.0	3657.0	1238.0	4792.0	4196.0	660.0	7377.0	7480.0	5563.0	4301.0	3486.0	311.0	538.0	321.0	2305.0	91847.7	1259980.0	1715735.22124
IXI022-Guys-0701	1037.0	538.0	2437.0	1693.0	394.0	3444.0	6939.0	4739.0	1030.0	4986.0	3050.0	3408.0	2230.0	5070.0	737.0	1360.0	1405.0	955.0	1555.0	1517.0	4120.0	1029.0	5182.0	4086.0	538.0	7856.0	8700.0	5581.0	3945.0	3835.0	372.0	521.0	312.0	2524.0	97122.4	1301366.0	1873658.27438
IXI023-Guys-0699	865.0	831.0	2556.0	1435.0	314.0	2730.0	6114.0	3143.0	702.0	4701.0	3005.0	2885.0	2128.0	3751.0	690.0	1805.0	1427.0	844.0	1616.0	1151.0	3573.0	1209.0	5054.0	4184.0	647.0	5993.0	6679.0	5141.0	3704.0	3317.0	304.0	482.0	360.0	2586.0	85847.6	1134924.0	1512320.47111
IXI024-Guys-0705	810.0	745.0	2687.0	1727.0	408.0	2809.0	4200.0	2849.0	852.0	4344.0	2749.0	3325.0	1978.0	3273.0	610.0	1734.0	1161.0	829.0	1484.0	1782.0	4243.0	1251.0	4999.0	3583.0	542.0	5643.0	6937.0	4603.0	3635.0	3458.0	328.0	504.0	301.0	2169.0	82551.2	1098722.0	1519883.00459
IXI025-Guys-0852	962.0	1028.0	2356.0	1331.0	515.0	2886.0	5650.0	3463.0	920.0	4288.0	2831.0	2469.0	2075.0	3596.0	643.0	1474.0	1298.0	763.0	1277.0	1120.0	3899.0	1223.0	4819.0	3956.0	760.0	5986.0	7107.0	4854.0	3800.0	3354.0	293.0	487.0	300.0	2229.0	83994.7	1132468.0	1607094.15027
IXI026-Guys-0696	965.0	752.0	1442.0	1448.0	458.0	2753.0	5397.0	2505.0	701.0	4622.0	2518.0	2764.0	1367.0	2756.0	579.0	1279.0	1095.0	703.0	1176.0	1244.0	3478.0	965.0	4343.0	3481.0	562.0	4609.0	4713.0	4501.0	2726.0	3147.0	234.0	432.0	227.0	1684.0	71625.2	1000438.0	1413405.01161
IXI027-Guys-0710	993.0	601.0	1973.0	1545.0	549.0	3410.0	5357.0	4360.0	910.0	4830.0	2724.0	2658.0	1872.0	4066.0	696.0	1462.0	1324.0	717.0	1633.0	1518.0	3780.0	1182.0	4612.0	3984.0	530.0	5907.0	7734.0	5234.0	3881.0	3697.0	357.0	546.0	391.0	2361.0	87391.8	1262355.0	1598595.58814
IXI028-Guys-1038	776.0	477.0	1858.0	1221.0	500.0	2683.0	4590.0	3280.0	860.0	4046.0	2327.0	2815.0	1732.0	3048.0	585.0	1320.0	1043.0	759.0	1262.0	1222.0	3990.0	844.0	5057.0	3456.0	487.0	4688.0	6411.0	4128.0	3069.0	3562.0	295.0	381.0	267.0	2362.0	75398.0	1034453.0	1535745.117
