lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
IXI002-Guys-0828	2331.0	1879.0	6783.0	2562.0	1947.0	8575.0	10966.0	10405.0	2090.0	11241.0	6057.0	6880.0	3882.0	10548.0	2039.0	3210.0	4634.0	2087.0	3839.0	2106.0	9755.0	2396.0	12612.0	8550.0	2487.0	17233.0	21186.0	12420.0	12206.0	11183.0	979.0	2201.0	1051.0	6926.0	1147266.0	1545649.98067
IXI012-HH-1211	2496.0	1845.0	5431.0	4087.0	2018.0	9751.0	11412.0	12822.0	2367.0	12341.0	8144.0	6025.0	4783.0	13604.0	1588.0	3662.0	4646.0	2002.0	3654.0	2303.0	11031.0	3749.0	12566.0	10266.0	3593.0	20378.0	24540.0	13970.0	14136.0	12272.0	845.0	2938.0	1126.0	7574.0	1323241.0	1853040.72332
IXI013-HH-1212	2207.0	1637.0	7614.0	2106.0	1995.0	9703.0	13017.0	11932.0	2748.0	10298.0	7497.0	5145.0	4573.0	9711.0	1801.0	2481.0	5343.0	2923.0	3725.0	1288.0	9694.0	2933.0	11373.0	8392.0	2669.0	17647.0	24145.0	11321.0	12300.0	13731.0	1051.0	2272.0	988.0	7407.0	1247419.0	1704681.57987
IXI014-HH-1236	2405.0	1424.0	5827.0	2365.0	2253.0	8554.0	9525.0	8939.0	2246.0	9925.0	7362.0	4935.0	4568.0	10513.0	2017.0	2878.0	3862.0	2257.0	3553.0	1930.0	8896.0	2364.0	10844.0	8057.0	2402.0	14965.0	20882.0	10926.0	10701.0	10689.0	919.0	2407.0	972.0	6190.0	1076325.0	1373808.99181
IXI015-HH-1258	2521.0	1588.0	6446.0	2202.0	1753.0	7904.0	11680.0	11291.0	2803.0	11263.0	8087.0	3796.0	5001.0	10878.0	1731.0	2753.0	5665.0	2337.0	4819.0	1103.0	8377.0	2792.0	12181.0	8542.0	2803.0	13216.0	21756.0	10572.0	12799.0	11364.0	1204.0	2109.0	1319.0	8093.0	1192328.0	1703851.02527
IXI016-Guys-0697	2290.0	1331.0	5963.0	2297.0	2322.0	7774.0	10194.0	11910.0	2627.0	9814.0	7205.0	4622.0	4514.0	10391.0	1785.0	2595.0	3603.0	2003.0	2994.0	1528.0	7833.0	2812.0	10415.0	8165.0	2626.0	14197.0	20516.0	11522.0	13051.0	9861.0	854.0	2388.0	1275.0	6205.0	1144485.0	1560431.14236
IXI017-Guys-0698	2450.0	1110.0	7644.0	2933.0	1865.0	9098.0	14023.0	14446.0	3497.0	12889.0	8779.0	6948.0	4633.0	13111.0	2113.0	3484.0	5002.0	2863.0	4075.0	1835.0	10380.0	3044.0	14990.0	10395.0	2506.0	17541.0	25680.0	13125.0	14807.0	9735.0	896.0	2471.0	1054.0	7700.0	1242806.0	1697050.19388
IXI019-Guys-0702	2526.0	2209.0	7285.0	2974.0	2401.0	11253.0	12649.0	13041.0	2188.0	10904.0	8873.0	5454.0	5869.0	12311.0	2334.0	2872.0	4097.0	2163.0	3676.0	1827.0	10699.0	3028.0	16431.0	9933.0	4003.0	16180.0	22836.0	12322.0	13988.0	11822.0	1039.0	2674.0	1020.0	7241.0	1214350.0	1599020.2663
IXI020-Guys-0700	2335.0	1346.0	6198.0	3202.0	2529.0	9237.0	11966.0	13514.0	2189.0	11520.0	8202.0	6132.0	4337.0	11005.0	2086.0	3858.0	4411.0	2505.0	3726.0	2050.0	9233.0	3323.0	10707.0	10067.0	2491.0	16254.0	22800.0	15570.0	11669.0	10849.0	894.0	2813.0	1164.0	7333.0	1249623.0	1702761.67298
IXI021-Guys-0703	2598.0	2446.0	6555.0	4568.0	1497.0	9561.0	10533.0	13431.0	2551.0	11315.0	9193.0	6553.0	5729.0	13113.0	2213.0	3683.0	4545.0	3431.0	4413.0	2373.0	7951.0	3158.0	13490.0	9692.0	3110.0	17618.0	24023.0	16263.0	14121.0	13034.0	998.0	2816.0	1330.0	7405.0	1259980.0	1715735.22124
IXI022-Guys-0701	2677.0	1605.0	8744.0	2979.0	2585.0	10649.0	11646.0	16973.0	3083.0	12687.0	8530.0	7067.0	6487.0	14113.0	2103.0	3674.0	5208.0	2625.0	3500.0	1824.0	10569.0	3545.0	14681.0	9234.0	2346.0	17118.0	25700.0	12513.0	13422.0	15197.0	1141.0	3332.0	1176.0	8461.0	1301366.0	1873658.27438
IXI023-Guys-0699	3073.0	1423.0	7066.0	2124.0	2447.0	8753.0	13711.0	11472.0	2581.0	12122.0	7431.0	5825.0	4719.0	12426.0	2294.0	3046.0	4845.0	2223.0	4375.0	1250.0	9074.0	3260.0	13501.0	10016.0	2380.0	15988.0	23061.0	11366.0	14816.0	10734.0	950.0	2568.0	1148.0	8814.0	1134924.0	1512320.47111
IXI024-Guys-0705	2136.0	1440.0	7672.0	2633.0	2427.0	9593.0	11214.0	11312.0	2032.0	10697.0	8331.0	5515.0	6081.0	10217.0	2170.0	3598.0	4629.0	2510.0	3045.0	1846.0	8792.0	3411.0	12509.0	8574.0	2259.0	14579.0	23818.0	11747.0	11622.0	10260.0	884.0	2867.0	957.0	6970.0	1098722.0	1519883.00459
IXI025-Guys-0852	2977.0	2120.0	6379.0	2174.0	2418.0	8292.0	12116.0	12424.0	2189.0	9099.0	7437.0	4595.0	5370.0	12249.0	1584.0	3871.0	4964.0	2575.0	3653.0	1278.0	8142.0	3222.0	12998.0	9858.0	3579.0	17225.0	23813.0	12928.0	13388.0	11531.0	1044.0	2888.0	1382.0	7078.0	1132468.0	1607094.15027
IXI026-Guys-0696	2303.0	1718.0	6067.0	2588.0	2568.0	9349.0	13214.0	10407.0	1856.0	11333.0	7457.0	5484.0	4893.0	9628.0	2028.0	2795.0	3843.0	2473.0	2596.0	1622.0	8881.0	2488.0	12325.0	9030.0	2170.0	13120.0	20663.0	10926.0	9370.0	9704.0	850.0	2455.0	717.0	5477.0	1000438.0	1413405.01161
IXI027-Guys-0710	3452.0	1934.0	6967.0	2671.0	2406.0	11422.0	13745.0	14187.0	2739.0	11539.0	7955.0	5318.0	5289.0	12607.0	2335.0	3832.0	5504.0	1939.0	3819.0	1734.0	8735.0	3741.0	12149.0	9395.0	2521.0	16263.0	25642.0	12601.0	13817.0	13456.0	1016.0	2993.0	1301.0	7456.0	1262355.0	1598595.58814
IXI028-Guys-1038	2057.0	1171.0	4504.0	1908.0	2787.0	8346.0	8036.0	10557.0	2310.0	8030.0	6539.0	4676.0	4430.0	9319.0	2037.0	3246.0	3393.0	2082.0	2714.0	1296.0	7739.0	2480.0	11603.0	7099.0	1994.0	12502.0	19002.0	9222.0	10038.0	11067.0	864.0	2513.0	941.0	6259.0	1034453.0	1535745.117
IXI029-Guys-0829	2028.0	1707.0	5078.0	1814.0	2417.0	7941.0	11415.0	9875.0	1689.0	9393.0	5947.0	4261.0	4285.0	8052.0	2217.0	2792.0	3651.0	1934.0	3167.0	1207.0	6752.0	2724.0	10296.0	7060.0	1852.0	13239.0	21940.0	8860.0	10732.0	7442.0	732.0	1994.0	887.0	6158.0	998352.0	1341778.07453
IXI030-Guys-0708	2799.0	2282.0	5859.0	3394.0	2201.0	12914.0	12911.0	12840.0	2709.0	16203.0	8385.0	6932.0	5677.0	11002.0	1824.0	3266.0	5554.0	2981.0	5028.0	1689.0	9939.0	3370.0	13354.0	10340.0	2999.0	19688.0	25043.0	13838.0	13531.0	12566.0	1150.0	2900.0	1312.0	8146.0	1300045.0	1701560.6702
IXI031-Guys-0797	2556.0	1583.0	6635.0	2279.0	2024.0	10434.0	10729.0	11757.0	3011.0	10777.0	7361.0	6146.0	4865.0	12253.0	2352.0	3474.0	4690.0	2327.0	4080.0	1251.0	8069.0	3520.0	12536.0	9652.0	3190.0	14900.0	22221.0	13355.0	11382.0	9984.0	928.0	2759.0	969.0	7303.0	1201033.0	1590006.49808
IXI033-HH-1259	3275.0	1821.0	5212.0	2734.0	1461.0	9111.0	13880.0	11107.0	2849.0	11226.0	9076.0	4473.0	5454.0	13328.0	2315.0	3272.0	5580.0	2915.0	5737.0	1454.0	9453.0	2958.0	14218.0	10382.0	3275.0	16057.0	25947.0	14624.0	14241.0	13605.0	1060.0	2341.0	1257.0	8279.0	1234230.0	1722990.44531
IXI034-HH-1260	2889.0	2199.0	7407.0	2485.0	1798.0	8818.0	12781.0	11820.0	2316.0	9682.0	7781.0	5430.0	5898.0	11232.0	1992.0	3058.0	4761.0	2563.0	3707.0	1768.0	8311.0	2469.0	13689.0	8953.0	2649.0	16721.0	23482.0	13367.0	12509.0	10811.0	907.0	2335.0	972.0	7068.0	1203441.0	1663490.8176
IXI035-IOP-0873	1798.0	1370.0	5411.0	3162.0	1602.0	9097.0	10588.0	10643.0	2398.0	11362.0	7555.0	6722.0	5653.0	8831.0	1972.0	3001.0	3951.0	2559.0	3647.0	2042.0	8192.0	2250.0	12303.0	9169.0	2121.0	14800.0	18867.0	14313.0	10255.0	10085.0	970.0	1726.0	1280.0	7169.0	1196867.0	1425401.87927
IXI036-Guys-0736	3196.0	2112.0	7711.0	3148.0	3246.0	10735.0	19684.0	14899.0	2882.0	12665.0	8314.0	5813.0	5665.0	14621.0	3025.0	4049.0	6400.0	2403.0	4420.0	1607.0	9342.0	3187.0	14629.0	11543.0	3421.0	19724.0	26922.0	16031.0	14907.0	13672.0	1062.0	2750.0	1384.0	7813.0	1308384.0	1743053.00457
IXI037-Guys-0704	2625.0	1900.0	5285.0	2973.0	2207.0	10017.0	12636.0	10432.0	2787.0	10692.0	7377.0	5730.0	4623.0	11739.0	2003.0	3161.0	5108.0	2236.0	3629.0	1958.0	7935.0	3201.0	12301.0	10226.0	2736.0	14091.0	21458.0	12724.0	10597.0	11834.0	969.0	2522.0	947.0	6247.0	1095659.0	1569785.99082
IXI038-Guys-0729	1844.0	2161.0	6508.0	3115.0	2102.0	11440.0	11732.0	13140.0	2658.0	13518.0	7892.0	5961.0	5660.0	11511.0	2126.0	3934.0	7174.0	2665.0	5194.0	1891.0	10491.0	3326.0	14849.0	11125.0	3083.0	14921.0	25772.0	13320.0	15974.0	11868.0	1382.0	3272.0	1159.0	7864.0	1254819.0	1704381.47017
